cycle,range_bin,doppler_bin,output_hex
1109335000,13,8,00f40242
1109345000,13,9,ff9cfdef
1109355000,13,10,005cff82
1109365000,13,11,fec0031b
1109375000,13,12,0101fdca
1109385000,13,13,ffc3ffcb
1109395000,13,14,00b20040
1109405000,13,15,ffa5ff56
1109415000,13,16,00450104
1109425000,13,17,ffd9ffd2
1109435000,13,18,ff55ffc1
1109445000,13,19,ffed00a2
1109455000,13,20,ffceff24
1109465000,13,21,ffb100fc
1109475000,13,22,012cff0a
1109485000,13,23,feb90085
1109495000,13,24,02a800d2
1109505000,13,25,fd5cffb9
1109515000,13,26,0146fe8c
1109525000,13,27,fff400d3
1109535000,13,28,ffcd00d6
1109545000,13,29,ff9bfe47
1109555000,13,30,010a0208
1109565000,13,31,0001fef4
1114645000,14,0,fef10080
1114655000,14,1,01ce0054
1114665000,14,2,ffa7ffb8
1114675000,14,3,ff2100ee
1114685000,14,4,fefcff94
1114695000,14,5,0345ff9e
1114705000,14,6,fe0cffd6
1114715000,14,7,fe94009e
1114725000,14,8,01a1ff9f
1114735000,14,9,010a012f
1114745000,14,10,fea9fdd2
1114755000,14,11,0042029f
1114765000,14,12,00f6fe3f
1114775000,14,13,fe8dfe9a
1114785000,14,14,018c0126
1114795000,14,15,ffb0ffc3
1114805000,14,16,fe51011c
1114815000,14,17,01a40006
1114825000,14,18,fe27fea2
1114835000,14,19,01570100
1114845000,14,20,ff2cffe8
1114855000,14,21,0041ff1a
1114865000,14,22,01900210
1114875000,14,23,fe38fcc8
1114885000,14,24,01c90281
1114895000,14,25,fd10febb
1114905000,14,26,02cd0100
1114915000,14,27,fe66004b
1114925000,14,28,00660001
1114935000,14,29,ffc9fefa
1114945000,14,30,005400a0
1114955000,14,31,000cff1f
1120035000,15,0,fe29014e
1120045000,15,1,0220fe40
1120055000,15,2,ff6d0124
1120065000,15,3,0057fd78
1120075000,15,4,fdff02de
1120085000,15,5,0239fed3
1120095000,15,6,fefb004c
1120105000,15,7,ff7afffb
1120115000,15,8,01000097
1120125000,15,9,00150013
1120135000,15,10,fef8fe2a
1120145000,15,11,ffab0239
1120155000,15,12,0299fe0a
1120165000,15,13,fcce016d
1120175000,15,14,027bff0e
1120185000,15,15,ff220022
1120195000,15,16,ff9d0040
1120205000,15,17,00f8ff04
1120215000,15,18,fed701de
1120225000,15,19,ff5d002a
1120235000,15,20,00edff4e
1120245000,15,21,ff1d0055
1120255000,15,22,0149fe28
1120265000,15,23,002201a1
1120275000,15,24,001200c3
1120285000,15,25,007ffdf9
1120295000,15,26,ff500170
1120305000,15,27,0035ffa9
1120315000,15,28,ff430062
1120325000,15,29,fee8fed3
1120335000,15,30,02c50082
1120345000,15,31,ff46ffe6
1125425000,16,0,0011ff74
1125435000,16,1,00b30137
1125445000,16,2,fff9fed4
1125455000,16,3,ff1200a1
1125465000,16,4,fe17000f
1125475000,16,5,048b011c
1125485000,16,6,fd30fe9b
1125495000,16,7,00110000
1125505000,16,8,000500c3
1125515000,16,9,003e0018
1125525000,16,10,00fefe26
1125535000,16,11,fe59043b
1125545000,16,12,0141fb8f
1125555000,16,13,ffba00d7
1125565000,16,14,ff4d0140
1125575000,16,15,0222feaf
1125585000,16,16,fd8501dc
1125595000,16,17,0191ff6b
1125605000,16,18,ff19ff3c
1125615000,16,19,fed20087
1125625000,16,20,01fffeb7
1125635000,16,21,ff2b00f0
1125645000,16,22,0076019b
1125655000,16,23,fea5fd7e
1125665000,16,24,03a502c9
1125675000,16,25,fcdafdf2
1125685000,16,26,0144ffda
1125695000,16,27,ff4bfff1
1125705000,16,28,008100a7
1125715000,16,29,ff3cff69
1125725000,16,30,00510172
1125735000,16,31,ffe8feb7
1130815000,17,0,0152ffa7
1130825000,17,1,0116ffe7
1130835000,17,2,fdddffc7
1130845000,17,3,028d007a
1130855000,17,4,fc8eff8f
1130865000,17,5,04850073
1130875000,17,6,fca501e1
1130885000,17,7,0166fda5
1130895000,17,8,fee60012
1130905000,17,9,004f01e8
1130915000,17,10,0093fd29
1130925000,17,11,fee802d9
1130935000,17,12,016dfde6
1130945000,17,13,ffc100d5
1130955000,17,14,003dff73
1130965000,17,15,feefff3d
1130975000,17,16,01140285
1130985000,17,17,ff6cfe25
1130995000,17,18,fee300af
1131005000,17,19,008f010e
1131015000,17,20,00f4feaf
1131025000,17,21,ff79ffbb
1131035000,17,22,005500d1
1131045000,17,23,fef6fe97
1131055000,17,24,02c0024a
1131065000,17,25,fd4ffe84
1131075000,17,26,01790061
1131085000,17,27,fec4ff8b
1131095000,17,28,00950064
1131105000,17,29,0039ffbd
1131115000,17,30,01cd00db
1131125000,17,31,fc75ff53
1136205000,18,0,025c00de
1136215000,18,1,fea8ffb5
1136225000,18,2,013bff8e
1136235000,18,3,fe0d0025
1136245000,18,4,000e0077
1136255000,18,5,03890069
1136265000,18,6,fd30ffac
1136275000,18,7,01cfffc0
1136285000,18,8,fd4fffeb
1136295000,18,9,019c0136
1136305000,18,10,fefdfd85
1136315000,18,11,01a5024e
1136325000,18,12,fe99fee6
1136335000,18,13,009bff70
1136345000,18,14,016d0163
1136355000,18,15,fe47ff55
1136365000,18,16,001e0024
1136375000,18,17,017c0047
1136385000,18,18,fd35fee0
1136395000,18,19,01b301a3
1136405000,18,20,ff90fe2b
1136415000,18,21,000b0081
1136425000,18,22,005a0200
1136435000,18,23,fecdfd4c
1136445000,18,24,0337018f
1136455000,18,25,fda0ffc6
1136465000,18,26,00b30031
1136475000,18,27,fed7ff36
1136485000,18,28,0069002c
1136495000,18,29,00490116
1136505000,18,30,0229fe2d
1136515000,18,31,fc29005b
1141595000,19,0,fedc00ce
1141605000,19,1,011eff58
1141615000,19,2,ff39fff7
1141625000,19,3,01c6025e
1141635000,19,4,fd87fd00
1141645000,19,5,02da0299
1141655000,19,6,fe2afe6e
1141665000,19,7,00e00014
1141675000,19,8,fec1015e
1141685000,19,9,005ffe0f
1141695000,19,10,006300ee
1141705000,19,11,005f010a
1141715000,19,12,fee1fe63
1141725000,19,13,00b9ff7e
1141735000,19,14,0168ffee
1141745000,19,15,fed501ad
1141755000,19,16,ff20ff76
1141765000,19,17,00d2012a
1141775000,19,18,0045fe6f
1141785000,19,19,feee0044
1141795000,19,20,ffa9ffa8
1141805000,19,21,0188ffed
1141815000,19,22,002200fc
1141825000,19,23,fdb6fde0
1141835000,19,24,02e70312
1141845000,19,25,fde5fecb
1141855000,19,26,020fff60
1141865000,19,27,fdd1008c
1141875000,19,28,021bfff9
1141885000,19,29,fee1ffc8
1141895000,19,30,ffdc005c
1141905000,19,31,0031fedf
1146985000,20,0,00b901e7
1146995000,20,1,00d3feb2
1147005000,20,2,fef0ffe5
1147015000,20,3,012101b9
1147025000,20,4,fd9aff37
1147035000,20,5,047700be
1147045000,20,6,fc74fec5
1147055000,20,7,01ae00de
1147065000,20,8,feecff32
1147075000,20,9,ff80008e
1147085000,20,10,012dff4d
1147095000,20,11,ff2900f9
1147105000,20,12,0062ff50
1147115000,20,13,0067ffa4
1147125000,20,14,fff3004a
1147135000,20,15,005200c4
1147145000,20,16,ff45003f
1147155000,20,17,013dffce
1147165000,20,18,fd42ff01
1147175000,20,19,01490077
1147185000,20,20,011eff6b
1147195000,20,21,fe990054
1147205000,20,22,00ee0137
1147215000,20,23,fe44fe20
1147225000,20,24,04420224
1147235000,20,25,fc4cff2e
1147245000,20,26,0165ffdd
1147255000,20,27,ff5dfecf
1147265000,20,28,0022012a
1147275000,20,29,00ed0126
1147285000,20,30,003ffe22
1147295000,20,31,fdccff1e
1152375000,21,0,ffd9ff08
1152385000,21,1,011effc5
1152395000,21,2,fe620006
1152405000,21,3,01c30206
1152415000,21,4,fe0aff73
1152425000,21,5,01f2ff49
1152435000,21,6,ff040085
1152445000,21,7,003f001a
1152455000,21,8,ff38fece
1152465000,21,9,015e0168
1152475000,21,10,ff5efd2a
1152485000,21,11,fff1041c
1152495000,21,12,ffcffd52
1152505000,21,13,ffcc005d
1152515000,21,14,012fffbb
1152525000,21,15,ff340122
1152535000,21,16,ffc3ffc8
1152545000,21,17,015afeab
1152555000,21,18,fd90022e
1152565000,21,19,0223fe1c
1152575000,21,20,ff40ffbd
1152585000,21,21,fe940099
1152595000,21,22,0170010d
1152605000,21,23,ff27ff50
1152615000,21,24,0180fffe
1152625000,21,25,fea20060
1152635000,21,26,016cfff2
1152645000,21,27,ff6dfeaa
1152655000,21,28,013b026a
1152665000,21,29,fd86fd79
1152675000,21,30,008901bb
1152685000,21,31,0042ffbc
1157765000,22,0,fe4dfe8d
1157775000,22,1,02dcfea2
1157785000,22,2,fd63028f
1157795000,22,3,01c0fea6
1157805000,22,4,fe94ff9b
1157815000,22,5,00dc0102
1157825000,22,6,011200a9
1157835000,22,7,ffb9ff0f
1157845000,22,8,fe660004
1157855000,22,9,0178ff8e
1157865000,22,10,ff1a004c
1157875000,22,11,0020003b
1157885000,22,12,ff0cff3e
1157895000,22,13,017b01a4
1157905000,22,14,ff7afd26
1157915000,22,15,00a80302
1157925000,22,16,009dfea3
1157935000,22,17,fdc8ff34
1157945000,22,18,0199022b
1157955000,22,19,fd9efe7a
1157965000,22,20,03a40087
1157975000,22,21,fc6affd0
1157985000,22,22,01e2ff73
1157995000,22,23,ffbd00a1
1158005000,22,24,009c00bc
1158015000,22,25,ff98ff7c
1158025000,22,26,ff2eff9e
